GroupID,Length,BaseStart,BaseEnd,FitOrder,FitA,FitB,FitC,StartScaleFactor,SlopeScaleFactor,InterceptScaleFactor,BitWidthStart,BitBitWidthIntercept,DeltaEncodings
0,6.106497e-02,1.221299e-01,1.831949e-01,0,0.000000e+00,9.812854e-01,1.681998e-03,1.000000e+00,6.553600e+04,6.553600e+04,8,8,"0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0;1:0:0:0:0;0:0:0:0:0"
1,3.028823e-02,4.885198e-01,5.188080e-01,0,0.000000e+00,7.892785e-01,6.746264e-02,1.000000e+00,6.553600e+04,6.553600e+04,8,8,"0:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0;0:0:0:0:0;0:0:0:0:0;0:0:0:0:0"
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,6.553600e+04,6.553600e+04,8,8,"0:1:0:0:0;1:0:0:0:0;1:0:0:0:0;1:0:0:0:0"
