Order,a,b,c,RangeStart,RangeEnd
1,0,0.894177,0.0234587,0.337079,0.338056
1,0,0.893038,0.0238444,0.339033,0.34001
1,0,0.891895,0.0242338,0.340987,0.341964
1,0,0.890746,0.0246271,0.342941,0.343918
1,0,0.889593,0.0250242,0.344895,0.345872
1,0,0.888436,0.0254251,0.346849,0.347826
1,0,0.887274,0.0258298,0.348803,0.34978
1,0,0.886107,0.0262384,0.350757,0.351734
1,0,0.884936,0.0266508,0.352711,0.353688
1,0,0.883761,0.0270671,0.354665,0.355642
1,0,0.882581,0.0274872,0.356619,0.357596
1,0,0.881397,0.0279113,0.358574,0.359551
1,0,0.880209,0.0283391,0.360528,0.361505
1,0,0.879016,0.0287709,0.362482,0.363459
1,0,0.877819,0.0292066,0.364436,0.365413
1,0,0.876618,0.0296461,0.36639,0.367367
1,0,0.875412,0.0300896,0.368344,0.369321
1,0,0.874202,0.0305369,0.370298,0.371275
1,0,0.872989,0.0309882,0.372252,0.373229
1,0,0.871771,0.0314434,0.374206,0.375183
1,0,0.870549,0.0319025,0.37616,0.377137
1,0,0.869322,0.0323655,0.378114,0.379091
1,0,0.868092,0.0328324,0.380068,0.381045
1,0,0.866858,0.0333033,0.382022,0.383
1,0,0.86562,0.0337781,0.383977,0.384954
1,0,0.864378,0.0342569,0.385931,0.386908
1,0,0.863132,0.0347396,0.387885,0.388862
1,0,0.861882,0.0352262,0.389839,0.390816
1,0,0.860628,0.0357168,0.391793,0.39277
1,0,0.859371,0.0362114,0.393747,0.394724
1,0,0.858109,0.0367099,0.395701,0.396678
1,0,0.856844,0.0372124,0.397655,0.398632
1,0,0.855575,0.0377188,0.399609,0.400586
1,0,0.854303,0.0382292,0.401563,0.40254
1,0,0.853026,0.0387436,0.403517,0.404494
1,0,0.851747,0.0392619,0.405471,0.406448
1,0,0.850463,0.0397842,0.407426,0.408403
1,0,0.849176,0.0403105,0.40938,0.410357
1,0,0.847885,0.0408407,0.411334,0.412311
1,0,0.846591,0.0413749,0.413288,0.414265
1,0,0.845294,0.0419131,0.415242,0.416219
1,0,0.843992,0.0424553,0.417196,0.418173
1,0,0.842688,0.0430015,0.41915,0.420127
1,0,0.84138,0.0435516,0.421104,0.422081
1,0,0.840069,0.0441057,0.423058,0.424035
1,0,0.838754,0.0446638,0.425012,0.425989
1,0,0.837436,0.0452259,0.426966,0.427943
1,0,0.836115,0.0457919,0.42892,0.429897
1,0,0.83479,0.046362,0.430874,0.431851
1,0,0.833463,0.046936,0.432829,0.433806
1,0,0.832132,0.047514,0.434783,0.43576
1,0,0.830798,0.0480959,0.436737,0.437714
1,0,0.829461,0.0486819,0.438691,0.439668
1,0,0.828121,0.0492718,0.440645,0.441622
1,0,0.826777,0.0498657,0.442599,0.443576
1,0,0.825431,0.0504635,0.444553,0.44553
1,0,0.824082,0.0510653,0.446507,0.447484
1,0,0.822729,0.0516711,0.448461,0.449438
1,0,0.821374,0.0522809,0.450415,0.451392
1,0,0.820016,0.0528946,0.452369,0.453346
1,0,0.818655,0.0535123,0.454323,0.4553
1,0,0.817291,0.0541339,0.456277,0.457255
1,0,0.815924,0.0547595,0.458232,0.459209
1,0,0.814555,0.0553891,0.460186,0.461163
1,0,0.813182,0.0560226,0.46214,0.463117
1,0,0.811808,0.0566601,0.464094,0.465071
1,0,0.81043,0.0573015,0.466048,0.467025
1,0,0.809049,0.0579468,0.468002,0.468979
1,0,0.807666,0.0585961,0.469956,0.470933
1,0,0.806281,0.0592493,0.47191,0.472887
1,0,0.804893,0.0599064,0.473864,0.474841
1,0,0.803502,0.0605675,0.475818,0.476795
1,0,0.802109,0.0612324,0.477772,0.478749
1,0,0.800713,0.0619013,0.479726,0.480703
1,0,0.799315,0.0625741,0.481681,0.482658
1,0,0.797914,0.0632508,0.483635,0.484612
1,0,0.796511,0.0639314,0.485589,0.486566
1,0,0.795106,0.0646159,0.487543,0.48852
1,0,0.793698,0.0653043,0.489497,0.490474
1,0,0.792288,0.0659966,0.491451,0.492428
1,0,0.790876,0.0666928,0.493405,0.494382
1,0,0.789461,0.0673928,0.495359,0.496336
1,0,0.788044,0.0680967,0.497313,0.49829
1,0,0.786625,0.0688045,0.499267,0.500244
1,0,0.785204,0.0695161,0.501221,0.502198
1,0,0.783781,0.0702316,0.503175,0.504152
