ParamsID,Order,a,b,c,IntervalIndices,Offsets
142,1,0,1.89506,0.131922,"142","0"
143,1,0,1.88844,0.132384,"143","0"
144,1,0,1.8819,0.132844,"144","0"
145,1,0,1.87542,0.133303,"145","0"
146,1,0,1.86901,0.133761,"146","0"
147,1,0,1.86266,0.134216,"147","0"
148,1,0,1.85638,0.13467,"148","0"
149,1,0,1.85016,0.135123,"149","0"
150,1,0,1.844,0.135574,"150","0"
151,1,0,1.83791,0.136024,"151","0"
152,1,0,1.83187,0.136472,"152","0"
153,1,0,1.82589,0.136919,"153","0"
154,1,0,1.81997,0.137364,"154","0"
155,1,0,1.81411,0.137808,"155","0"
156,1,0,1.80831,0.13825,"156","0"
157,1,0,1.80256,0.138691,"157","0"
158,1,0,1.79686,0.139131,"158","0"
159,1,0,1.79122,0.139569,"159","0"
160,1,0,1.78563,0.140006,"160","0"
161,1,0,1.7801,0.140442,"161","0"
162,1,0,1.77461,0.140876,"162","0"
163,1,0,1.76917,0.141309,"163","0"
164,1,0,1.76379,0.14174,"164","0"
165,1,0,1.75845,0.14217,"165","0"
166,1,0,1.75316,0.142599,"166","0"
167,1,0,1.74792,0.143027,"167","0"
168,1,0,1.74273,0.143453,"168","0"
169,1,0,1.73758,0.143878,"169","0"
170,1,0,1.73248,0.144302,"170","0"
171,1,0,1.72742,0.144724,"171","0"
172,1,0,1.7224,0.145146,"172","0"
173,1,0,1.71743,0.145566,"173","0"
174,1,0,1.7125,0.145985,"174","0"
175,1,0,1.70762,0.146402,"175","0"
176,1,0,1.70277,0.146819,"176","0"
177,1,0,1.69797,0.147234,"177","0"
178,1,0,1.69321,0.147648,"178","0"
179,1,0,1.68848,0.148061,"179","0"
180,1,0,1.6838,0.148473,"180","0"
181,1,0,1.67916,0.148884,"181","0"
182,1,0,1.67455,0.149294,"182","0"
183,1,0,1.66998,0.149702,"183","0"
184,1,0,1.66545,0.150109,"184","0"
185,1,0,1.66095,0.150516,"185","0"
186,1,0,1.65649,0.150921,"186","0"
187,1,0,1.65207,0.151325,"187","0"
188,1,0,1.64768,0.151728,"188","0"
189,1,0,1.64333,0.15213,"189","0"
190,1,0,1.63901,0.152531,"190","0"
191,1,0,1.63473,0.152931,"191","0"
192,1,0,1.63047,0.153329,"192","0"
193,1,0,1.62626,0.153727,"193","0"
194,1,0,1.62207,0.154124,"194","0"
195,1,0,1.61792,0.15452,"195","0"
196,1,0,1.61175,0.15511,"196","0"
197,1,0,1.60363,0.155895,"197","0"
198,1,0,1.59563,0.156677,"198","0"
199,1,0,1.58775,0.157455,"199","0"
200,1,0,1.57999,0.158228,"200","0"
201,1,0,1.57233,0.158998,"201","0"
202,1,0,1.56479,0.159765,"202","0"
203,1,0,1.55736,0.160527,"203","0"
204,1,0,1.55003,0.161286,"204","0"
205,1,0,1.5428,0.162042,"205","0"
206,1,0,1.53568,0.162794,"206","0"
207,1,0,1.52865,0.163542,"207","0"
208,1,0,1.52172,0.164287,"208","0"
209,1,0,1.51488,0.165029,"209","0"
210,1,0,1.50813,0.165767,"210","0"
211,1,0,1.50147,0.166503,"211","0"
212,1,0,1.4949,0.167234,"212","0"
213,1,0,1.48841,0.167963,"213","0"
214,1,0,1.48201,0.168689,"214","0"
215,1,0,1.47569,0.169411,"215","0"
216,1,0,1.46945,0.170131,"216","0"
217,1,0,1.46329,0.170847,"217","0"
218,1,0,1.45721,0.17156,"218","0"
219,1,0,1.4512,0.172271,"219","0"
220,1,0,1.44526,0.172978,"220","0"
221,1,0,1.4394,0.173683,"221","0"
222,1,0,1.43361,0.174385,"222","0"
223,1,0,1.42788,0.175084,"223","0"
224,1,0,1.42223,0.17578,"224","0"
225,1,0,1.41664,0.176473,"225","0"
226,1,0,1.41112,0.177164,"226","0"
227,1,0,1.40566,0.177852,"227","0"
228,1,0,1.40026,0.178537,"228","0"
229,1,0,1.39493,0.17922,"229","0"
230,1,0,1.38965,0.1799,"230","0"
231,1,0,1.38444,0.180578,"231","0"
232,1,0,1.37928,0.181253,"232","0"
233,1,0,1.37418,0.181925,"233","0"
234,1,0,1.36914,0.182596,"234","0"
235,1,0,1.36415,0.183263,"235","0"
236,1,0,1.35922,0.183928,"236","0"
237,1,0,1.35434,0.184591,"237","0"
238,1,0,1.34951,0.185252,"238","0"
239,1,0,1.34473,0.18591,"239","0"
240,1,0,1.34001,0.186566,"240","0"
241,1,0,1.33533,0.187219,"241","0"
242,1,0,1.3307,0.18787,"242","0"
243,1,0,1.32612,0.188519,"243","0"
244,1,0,1.32159,0.189166,"244","0"
245,1,0,1.3171,0.18981,"245","0"
246,1,0,1.31266,0.190453,"246","0"
247,1,0,1.30826,0.191093,"247","0"
248,1,0,1.30391,0.191731,"248","0"
249,1,0,1.2996,0.192367,"249","0"
250,1,0,1.29533,0.193001,"250","0"
251,1,0,1.2911,0.193633,"251","0"
252,1,0,1.28692,0.194262,"252","0"
253,1,0,1.28277,0.19489,"253","0"
254,1,0,1.27867,0.195516,"254","0"
255,1,0,1.2746,0.196139,"255","0"
256,1,0,1.27057,0.196761,"256","0"
257,1,0,1.26658,0.197381,"257","0"
258,1,0,1.26263,0.197999,"258","0"
259,1,0,1.25872,0.198614,"259","0"
260,1,0,1.25484,0.199228,"260","0"
261,1,0,1.25099,0.19984,"261","0"
262,1,0,1.24719,0.200451,"262","0"
263,1,0,1.24341,0.201059,"263","0"
264,1,0,1.23967,0.201666,"264","0"
265,1,0,1.23597,0.20227,"265","0"
266,1,0,1.23229,0.202873,"266","0"
267,1,0,1.22865,0.203474,"267","0"
268,1,0,1.22505,0.204074,"268","0"
269,1,0,1.22147,0.204671,"269","0"
270,1,0,1.21792,0.205267,"270","0"
271,1,0,1.21441,0.205861,"271","0"
272,1,0,1.21092,0.206454,"272","0"
273,1,0,1.20747,0.207044,"273","0"
274,1,0,1.20404,0.207633,"274","0"
275,1,0,1.20065,0.208221,"275","0"
276,1,0,1.19728,0.208806,"276","0"
277,1,0,1.19394,0.209391,"277","0"
278,1,0,1.19063,0.209973,"278","0"
279,1,0,1.18734,0.210554,"279","0"
280,1,0,1.18409,0.211133,"280","0"
281,1,0,1.18085,0.211711,"281","0"
282,1,0,1.17765,0.212287,"282","0"
283,1,0,1.17447,0.212861,"283","0"
284,1,0,1.17132,0.213434,"284","0"
285,1,0,1.16819,0.214006,"285","0"
286,1,0,1.16509,0.214576,"286","0"
287,1,0,1.16201,0.215144,"287","0"
288,1,0,1.15896,0.215711,"288","0"
289,1,0,1.15593,0.216277,"289","0"
290,1,0,1.15292,0.21684,"290","0"
291,1,0,1.14994,0.217403,"291","0"
292,1,0,1.14698,0.217964,"292","0"
293,1,0,1.14404,0.218524,"293","0"
294,1,0,1.14112,0.219082,"294","0"
295,1,0,1.13823,0.219639,"295","0"
296,1,0,1.13536,0.220194,"296","0"
297,1,0,1.13251,0.220748,"297","0"
298,1,0,1.12968,0.2213,"298","0"
299,1,0,1.12688,0.221852,"299","0"
300,1,0,1.12409,0.222401,"300","0"
