group_id,storage_type,count,base_a,base_b,base_c,delta_pos_bits,delta_a_bits,delta_b_bits,delta_c_bits,pos_scale,pos_offset,a_scale,a_offset,b_scale,b_offset,c_scale,c_offset,has_symmetry,symmetry_center
G8160_0,NORMAL,7,0.000000000000000e+00,7.321428571428571e-01,-8.677673339843750e-02,16,16,16,16,4.597148522141178e-06,1.506347656250000e-01,1.000000000000000e+00,0.000000000000000e+00,3.054831270790735e-06,-7.045200892857095e-03,2.059915568040063e-06,-4.051208496093750e-03,0,7.250000000000000e-01
G8200_1,NORMAL,6,0.000000000000000e+00,6.027832031250000e-01,-1.805591583251953e-02,16,16,16,16,1.521827529412213e-06,4.986572265625000e-02,1.000000000000000e+00,0.000000000000000e+00,1.780743106631672e-06,-2.929687500000000e-03,5.341589016084446e-07,-1.947402954101562e-03,0,3.000000000000000e-01
G8240_2,NORMAL,4,0.000000000000000e+00,7.500000000000000e-01,-9.664916992187500e-02,16,16,16,16,3.039929654835658e-06,9.960937500000000e-02,1.000000000000000e+00,0.000000000000000e+00,1.773292298654134e-06,0.000000000000000e+00,1.334625978976562e-06,-2.075195312500000e-03,0,7.500000000000000e-01
ORPHAN,ORPHAN,3,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,16,16,16,16,1.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0,0.000000000000000e+00
