ParamsID,Order,a,b,c,IntervalIndices,Offsets
139,1,0,14.6739,-3.68608,"139","0"
140,1,0,14.5695,-3.67893,"140","0"
141,1,0,14.4665,-3.67184,"141","0"
142,1,0,14.365,-3.6648,"142","0"
143,1,0,14.2649,-3.65781,"143","0"
144,1,0,14.1661,-3.65086,"144","0"
145,1,0,14.0688,-3.64396,"145","0"
146,1,0,13.9728,-3.63711,"146","0"
147,1,0,13.878,-3.63031,"147","0"
148,1,0,13.7846,-3.62356,"148","0"
149,1,0,13.6924,-3.61684,"149","0"
150,1,0,13.6014,-3.61018,"150","0"
151,1,0,13.5116,-3.60355,"151","0"
152,1,0,13.423,-3.59697,"152","0"
153,1,0,13.3356,-3.59044,"153","0"
154,1,0,13.2492,-3.58395,"154","0"
155,1,0,13.164,-3.57749,"155","0"
156,1,0,13.0799,-3.57108,"156","0"
157,1,0,12.9969,-3.56471,"157","0"
158,1,0,12.9149,-3.55838,"158","0"
159,1,0,12.8339,-3.55209,"159","0"
160,1,0,12.7539,-3.54584,"160","0"
161,1,0,12.675,-3.53963,"161","0"
162,1,0,12.597,-3.53346,"162","0"
163,1,0,12.5199,-3.52733,"163","0"
164,1,0,12.4438,-3.52123,"164","0"
165,1,0,12.3686,-3.51517,"165","0"
166,1,0,12.2943,-3.50914,"166","0"
167,1,0,12.2209,-3.50315,"167","0"
168,1,0,12.1484,-3.4972,"168","0"
169,1,0,12.0767,-3.49128,"169","0"
170,1,0,12.0059,-3.4854,"170","0"
171,1,0,11.9359,-3.47955,"171","0"
172,1,0,11.8667,-3.47374,"172","0"
173,1,0,11.7983,-3.46796,"173","0"
174,1,0,11.7307,-3.46221,"174","0"
175,1,0,11.6638,-3.4565,"175","0"
176,1,0,11.5978,-3.45082,"176","0"
177,1,0,11.5324,-3.44517,"177","0"
178,1,0,11.4678,-3.43955,"178","0"
179,1,0,11.4039,-3.43396,"179","0"
180,1,0,11.3407,-3.42841,"180","0"
181,1,0,11.2783,-3.42288,"181","0"
182,1,0,11.2165,-3.41739,"182","0"
183,1,0,11.1553,-3.41192,"183","0"
184,1,0,11.0949,-3.40649,"184","0"
185,1,0,11.0351,-3.40108,"185","0"
186,1,0,10.9759,-3.39571,"186","0"
187,1,0,10.9174,-3.39036,"187","0"
188,1,0,10.8594,-3.38504,"188","0"
189,1,0,10.8021,-3.37975,"189","0"
190,1,0,10.7454,-3.37448,"190","0"
191,1,0,10.6893,-3.36925,"191","0"
192,1,0,10.6338,-3.36404,"192","0"
193,1,0,10.5788,-3.35886,"193","0"
194,1,0,10.5244,-3.3537,"194","0"
195,1,0,10.4706,-3.34858,"195","0"
196,1,0,10.4173,-3.34347,"196","0"
197,1,0,10.3646,-3.3384,"197","0"
198,1,0,10.3124,-3.33335,"198","0"
199,1,0,10.2607,-3.32832,"199","0"
200,1,0,10.2095,-3.32332,"200","0"
201,1,0,10.1588,-3.31835,"201","0"
202,1,0,10.1087,-3.3134,"202","0"
203,1,0,10.059,-3.30847,"203","0"
204,1,0,10.0098,-3.30357,"204","0"
205,1,0,9.96109,-3.29869,"205","0"
206,1,0,9.91285,-3.29384,"206","0"
207,1,0,9.86508,-3.289,"207","0"
208,1,0,9.81776,-3.2842,"208","0"
209,1,0,9.7709,-3.27941,"209","0"
210,1,0,9.72448,-3.27465,"210","0"
211,1,0,9.67851,-3.26991,"211","0"
212,1,0,9.63296,-3.26519,"212","0"
213,1,0,9.58784,-3.2605,"213","0"
214,1,0,9.54314,-3.25583,"214","0"
215,1,0,9.49886,-3.25117,"215","0"
216,1,0,9.45498,-3.24654,"216","0"
217,1,0,9.41151,-3.24194,"217","0"
218,1,0,9.36844,-3.23735,"218","0"
219,1,0,9.32576,-3.23278,"219","0"
220,1,0,9.28346,-3.22824,"220","0"
221,1,0,9.24155,-3.22371,"221","0"
222,1,0,9.20002,-3.21921,"222","0"
223,1,0,9.15885,-3.21472,"223","0"
224,1,0,9.11806,-3.21026,"224","0"
225,1,0,9.07762,-3.20581,"225","0"
226,1,0,9.03754,-3.20139,"226","0"
227,1,0,8.99782,-3.19698,"227","0"
228,1,0,8.95844,-3.1926,"228","0"
229,1,0,8.9194,-3.18823,"229","0"
230,1,0,8.88071,-3.18388,"230","0"
231,1,0,8.84235,-3.17955,"231","0"
232,1,0,8.80431,-3.17524,"232","0"
233,1,0,8.76661,-3.17095,"233","0"
