Order,a,b,c,RangeStart,RangeEnd
1,0,4.80531,-2.56976,0.206155,0.210064
1,0,4.63135,-2.53289,0.213972,0.21788
1,0,4.46955,-2.49732,0.221788,0.225696
1,0,4.31867,-2.46298,0.229604,0.233512
1,0,4.12722,-2.41768,0.239375,0.245237
1,0,3.98257,-2.38196,0.249145,0.253053
1,0,3.86234,-2.3513,0.256961,0.26087
1,0,3.70848,-2.31068,0.266732,0.272594
1,0,3.55395,-2.26811,0.278456,0.284319
1,0,3.41178,-2.22728,0.290181,0.296043
1,0,3.35579,-2.21071,0.296043,0.299951
1,0,3.27001,-2.18481,0.303859,0.307767
1,0,3.05537,-2.11697,0.3234,0.331216
1,0,2.91608,-2.07031,0.339033,0.346849
1,0,2.78894,-2.02572,0.354665,0.362482
1,0,2.67242,-1.98304,0.370298,0.378114
1,0,2.56525,-1.94211,0.385931,0.393747
1,0,2.46634,-1.90278,0.401563,0.40938
1,0,2.37478,-1.86495,0.417196,0.425012
1,0,2.28977,-1.82849,0.432829,0.440645
1,0,2.21064,-1.79332,0.448461,0.456277
1,0,2.15024,-1.7656,0.46214,0.468002
1,0,2.03483,-1.71045,0.487543,0.495359
1,0,1.9721,-1.67913,0.503175,0.510992
1,0,1.91312,-1.64876,0.518808,0.526624
1,0,1.85756,-1.61929,0.534441,0.542257
1,0,1.80514,-1.59067,0.550073,0.55789
1,0,1.7556,-1.56284,0.565706,0.573522
1,0,1.70871,-1.53576,0.581339,0.589155
1,0,1.66425,-1.5094,0.596971,0.604787
1,0,1.6068,-1.47429,0.616512,0.628236
1,0,1.55816,-1.44353,0.637274,0.646312
1,0,1.5138,-1.41465,0.655838,0.665364
1,0,1.46978,-1.38514,0.675379,0.685393
1,0,1.42775,-1.35612,0.695408,0.705423
1,0,1.38665,-1.32691,0.715926,0.726429
1,0,1.34607,-1.29722,0.737421,0.748412
1,0,1.30738,-1.26805,0.759404,0.770396
1,0,1.26968,-1.23879,0.781876,0.793356
1,0,1.2326,-1.20915,0.805325,0.817294
1,0,1.19675,-1.17963,0.829507,0.84172
1,0,1.16177,-1.14997,0.854421,0.867123
1,0,1.12846,-1.12088,0.879824,0.892526
1,0,1.09614,-1.09182,0.905716,0.918906
1,0,1.0645,-1.06253,0.932584,0.946263
1,0,1.03595,-1.03534,0.958964,0.971666
1,0,1.00827,-1.00825,0.9851,0.998534
1,0,1.00098,-1.00098,0.998046,1
1,0,1.00073,-1.00073,0.998534,1
