ParamsID,Order,a,b,c,IntervalIndices,Offsets
137,1,0,-0.697722,1.25515,"137","0"
138,1,0,-0.704338,1.26029,"138","0"
139,1,0,-0.712782,1.26694,"139","0"
140,1,0,-0.719597,1.27239,"140","0"
141,1,0,-0.726344,1.27784,"141","0"
142,1,0,-0.73327,1.2835,"142","0"
143,1,0,-0.740203,1.28925,"143","0"
144,1,0,-0.747059,1.29499,"144","0"
145,1,0,-0.754076,1.30095,"145","0"
146,1,0,-0.761088,1.30698,"146","0"
147,1,0,-0.768012,1.31301,"147","0"
148,1,0,-0.775078,1.31923,"148","0"
149,1,0,-0.782126,1.32552,"149","0"
150,1,0,-0.789299,1.33201,"150","0"
151,1,0,-0.79644,1.33854,"151","0"
152,1,0,-0.803689,1.34527,"152","0"
153,1,0,-0.810893,1.35203,"153","0"
154,1,0,-0.818186,1.35898,"154","0"
155,1,0,-0.825419,1.36595,"155","0"
156,1,0,-0.832722,1.37309,"156","0"
157,1,0,-0.839751,1.38005,"157","0"
